Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
07/06/2005,2494.79,2517.06,2494.79,2516.07
06/06/2005,2503.41,2506.28,2493.30,2494.79
03/06/2005,2503.74,2508.26,2498.21,2503.35
02/06/2005,2504.87,2506.76,2499.70,2503.72
01/06/2005,2483.35,2504.82,2483.35,2504.82
31/05/2005,2492.04,2496.68,2483.35,2483.35
27/05/2005,2494.67,2497.51,2487.03,2492.01
26/05/2005,2481.18,2496.20,2475.19,2494.64
25/05/2005,2484.69,2485.18,2478.45,2481.14
24/05/2005,2486.97,2486.97,2481.37,2484.68
23/05/2005,2476.88,2487.22,2476.88,2486.91
20/05/2005,2472.78,2480.47,2472.78,2476.83
19/05/2005,2463.56,2476.73,2463.56,2472.76
18/05/2005,2441.00,2467.13,2441.00,2463.45
17/05/2005,2433.73,2441.95,2433.48,2441.02
16/05/2005,2434.26,2435.25,2427.08,2433.68
13/05/2005,2437.67,2437.67,2420.52,2434.26
12/05/2005,2427.05,2443.46,2427.05,2437.70
11/05/2005,2434.69,2435.41,2423.77,2427.05
10/05/2005,2444.80,2453.60,2429.87,2434.84
09/05/2005,2448.09,2450.72,2438.36,2444.78
06/05/2005,2441.75,2450.18,2439.52,2448.06
05/05/2005,2431.03,2448.70,2431.03,2441.73
04/05/2005,2424.54,2432.54,2418.06,2431.01
03/05/2005,2397.13,2425.21,2397.13,2424.59
29/04/2005,2393.18,2406.09,2385.71,2397.05
28/04/2005,2397.91,2411.10,2387.68,2393.29
27/04/2005,2427.96,2427.96,2393.96,2397.90
26/04/2005,2439.48,2445.30,2422.14,2428.05
25/04/2005,2432.88,2440.70,2429.06,2439.45
22/04/2005,2418.19,2437.37,2418.19,2432.85
21/04/2005,2419.48,2426.42,2410.98,2418.07
20/04/2005,2434.26,2441.58,2418.50,2419.59
19/04/2005,2418.88,2437.59,2418.88,2434.24
18/04/2005,2453.41,2453.41,2406.74,2418.79
15/04/2005,2480.96,2480.96,2453.90,2453.90
14/04/2005,2491.48,2491.48,2480.07,2481.08
13/04/2005,2484.54,2496.22,2484.54,2491.55
12/04/2005,2496.47,2496.47,2482.74,2484.55
11/04/2005,2501.91,2501.91,2492.91,2496.44
08/04/2005,2497.55,2504.80,2497.55,2501.89
07/04/2005,2483.90,2499.91,2483.90,2497.53
06/04/2005,2479.12,2485.04,2478.22,2483.84
05/04/2005,2458.73,2479.63,2458.73,2479.16
04/04/2005,2468.45,2468.85,2450.76,2458.69
01/04/2005,2457.73,2479.49,2457.73,2468.46
31/03/2005,2457.74,2472.87,2457.73,2457.73
30/03/2005,2467.47,2467.47,2452.34,2457.62
29/03/2005,2470.58,2470.58,2457.02,2467.63
