Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
07/02/2005,10715.76,10733.5,10699.73,10715.76
04/02/2005,10593.17,10723.89,10586.89,10716.13
03/02/2005,10592.21,10601.15,10550.09,10593.10
02/02/2005,10551.05,10616.37,10544.48,10596.79
01/02/2005,10489.72,10570.26,10489.64,10551.94
31/01/2005,10428.76,10510.19,10428.76,10489.94
28/01/2005,10470.58,10488.39,10386.56,10427.20
27/01/2005,10498.14,10498.14,10429.94,10467.40
26/01/2005,10463.19,10531.99,10463.19,10498.59
25/01/2005,10369.42,10509.83,10369.42,10461.56
24/01/2005,10393.58,10442.87,10368.61,10368.61
21/01/2005,10471.98,10512.18,10390.85,10392.99
20/01/2005,10538.9,10546.77,10457.94,10471.47
19/01/2005,10626.05,10626.28,10536.49,10539.97
18/01/2005,10554.23,10628.94,10500.58,10628.79
14/01/2005,10506.71,10567.01,10503.76,10558.00
13/01/2005,10617.41,10618.15,10485.73,10505.83
12/01/2005,10561.32,10622.88,10499.47,10617.78
11/01/2005,10619.77,10619.77,10531.54,10556.22
10/01/2005,10603.44,10663.74,10582.38,10621.03
07/01/2005,10624.8,10653.25,10571.74,10603.96
06/01/2005,10593.19,10667.58,10589.33,10622.88
05/01/2005,10629.53,10684.43,10597.75,10597.83
04/01/2005,10727.81,10769.56,10605.15,10630.78
03/01/2005,10783.75,10867.39,10710.07,10729.43
31/12/2004,10800.3,10832.52,10781.01,10783.01
30/12/2004,10829.12,10850.18,10799.71,10800.30
29/12/2004,10853.72,10853.72,10795.57,10829.19
28/12/2004,10776.06,10859.04,10773.92,10854.54
27/12/2004,10828.01,10868.07,10776.13,10776.13
23/12/2004,10815,10864.67,10809.53,10827.12
22/12/2004,10752.34,10822.68,10739.19,10815.89
21/12/2004,10661.89,10765.27,10661.89,10759.43
20/12/2004,10652.14,10735.27,10652.07,10661.60
17/12/2004,10704.83,10739.33,10641.88,10649.92
16/12/2004,10691.71,10726.85,10661.67,10705.64
15/12/2004,10675.71,10706.16,10636.47,10691.45
14/12/2004,10640.53,10695.07,10621.03,10676.45
13/12/2004,10543.44,10642.53,10543.21,10638.32
10/12/2004,10552.16,10575.58,10522.68,10543.22
09/12/2004,10492.45,10562.51,10418.63,10552.82
08/12/2004,10438.77,10506.85,10438.66,10494.23
07/12/2004,10546.8,10567.16,10440.36,10440.58
06/12/2004,10591.32,10591.99,10526.82,10547.06
03/12/2004,10597.9,10643.05,10560.58,10592.21
02/12/2004,10590.44,10629.16,10544.77,10585.12
01/12/2004,10425.8,10590.22,10425.76,10590.22
30/11/2004,10475.27,10483.14,10428.02,10428.02
29/11/2004,10520.64,10557.41,10417.08,10475.90
26/11/2004,10518.69,10543.29,10508.56,10522.23
24/11/2004,10493.86,10527.4,10482.26,10520.31
23/11/2004,10486.69,10514.99,10436.38,10492.60
22/11/2004,10455.73,10508.04,10432.01,10489.42
19/11/2004,10571.63,10573.74,10438.58,10456.91
18/11/2004,10549.2,10585.26,10547.39,10572.55
17/11/2004,10481.83,10602.85,10481.83,10549.57
16/11/2004,10549.79,10549.79,10477.95,10487.65
15/11/2004,10541.89,10563.02,10517.13,10550.24
12/11/2004,10469.21,10539.6,10460.4,10539.01
11/11/2004,10386.95,10486.65,10386.95,10469.84
10/11/2004,10378.59,10439.4,10378.59,10385.48
09/11/2004,10387.62,10427.81,10368.59,10386.37
08/11/2004,10385.15,10405.69,10361.44,10391.31
05/11/2004,10317.05,10416.67,10316.98,10387.54
04/11/2004,10132.48,10318.23,10127.98,10314.76
03/11/2004,10037.5,10215.51,10037.43,10137.05
02/11/2004,10053.87,10132.99,10011.18,10035.73
01/11/2004,10028.73,10076.59,10010.15,10054.39
29/10/2004,10004.69,10044.14,9990.83,10027.47
28/10/2004,9998.94,10044.95,9952.48,10004.54
27/10/2004,9888.25,10018.55,9841.95,10002.03
26/10/2004,9750.59,9888.48,9749.55,9888.48
