Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
06/04/1924,93.01,94.69,93.01,94.05
30/03/1924,95.58,95.58,92.28,92.28
23/03/1924,96.60,96.89,95.72,95.72
16/03/1924,97.21,98.86,97.21,98.02
09/03/1924,97.10,98.61,97.10,98.25
02/03/1924,97.16,97.69,96.45,97.49
24/02/1924,96.33,97.88,96.33,97.88
17/02/1924,100.91,100.91,96.63,98.06
10/02/1924,101.08,101.31,100.20,100.88
03/02/1924,99.35,100.84,99.16,100.84
27/01/1924,97.28,100.00,97.23,100.00
20/01/1924,95.68,96.65,95.68,96.60
13/01/1924,96.54,97.46,96.54,97.25
06/01/1924,95.52,96.26,94.88,96.26
30/12/1923,94.42,95.61,94.42,95.23
23/12/1923,95.26,95.26,93.51,93.63
16/12/1923,93.86,95.23,93.65,95.23
09/12/1923,92.64,93.85,92.64,93.85
02/12/1923,92.88,93.15,92.34,93.15
25/11/1923,91.35,92.60,91.26,92.60
18/11/1923,91.08,91.08,89.65,89.65
11/11/1923,89.36,91.39,89.36,91.39
04/11/1923,86.20,89.63,85.91,89.63
28/10/1923,87.48,87.48,85.76,85.76
21/10/1923,88.06,88.06,86.91,87.83
14/10/1923,88.56,88.56,87.13,87.13
07/10/1923,88.06,90.45,88.06,89.29
30/09/1923,89.21,89.21,87.89,87.89
23/09/1923,89.41,89.41,88.07,88.54
16/09/1923,93.31,93.61,89.05,89.05
09/09/1923,92.25,93.00,92.25,92.93
02/09/1923,92.48,93.70,92.48,93.22
26/08/1923,91.71,92.18,91.59,91.59
19/08/1923,88.95,92.32,88.95,92.32
12/08/1923,88.51,89.55,88.51,89.11
05/08/1923,88.11,88.20,86.91,87.20
29/07/1923,91.58,91.58,87.33,87.33
22/07/1923,89.22,91.72,89.22,91.39
15/07/1923,89.26,89.40,87.64,89.40
08/07/1923,88.95,89.41,87.87,89.41
01/07/1923,91.48,91.48,87.85,87.85
24/06/1923,92.64,93.55,90.81,93.30
17/06/1923,97.22,97.22,94.73,94.73
