sep=,
"Date","Open(Q.DJI)","High(Q.DJI)","Low(Q.DJI)","Last(Q.DJI)"
"30/06/1955","413.84","451.38","412.97","451.38"
"31/03/1955","408.89","419.68","388.2","409.7"
"31/12/1954","359.88","404.39","352.14","404.39"
"30/09/1954","334.12","363.32","334.12","360.46"
"30/06/1954","306.27","336.9","304.26","333.53"
"31/03/1954","282.89","303.51","279.87","303.51"
"31/12/1953","265.68","283.54","264.26","280.9"
"30/09/1953","269.39","276.74","255.49","264.04"
"30/06/1953","280.09","280.09","262.88","268.26"
"31/03/1953","292.14","293.79","279.87","279.87"
"31/12/1952","270.17","292","263.06","291.9"
"30/09/1952","275.46","280.29","268.38","270.61"
"30/06/1952","267.22","274.26","256.35","274.26"
"31/03/1952","269.86","275.4","258.49","269.46"
"31/12/1951","272.56","275.87","255.95","269.23"
"30/09/1951","243.98","276.37","243.98","271.16"
"30/06/1951","246.63","263.13","242.64","242.64"
"31/03/1951","239.92","255.71","238.99","247.94"
"31/12/1950","228.94","235.47","222.33","235.41"
"30/09/1950","208.35","226.78","197.46","226.36"
"30/06/1950","206.37","228.38","206.37","209.11"
"31/03/1950","198.89","210.62","196.81","206.05"
"31/12/1949","181.98","200.52","181.98","200.13"
"30/09/1949","168.08","183.29","168.08","182.51"
"30/06/1949","176.28","177.16","161.6","167.42"
"31/03/1949","175.03","181.54","171.1","177.1"
"31/12/1948","179.87","190.19","171.2","177.3"
"30/09/1948","189.03","191.62","175.99","178.3"
"30/06/1948","177.61","193.16","177.32","189.46"
"31/03/1948","181.04","181.04","165.39","177.2"
"31/12/1947","178.1","185.29","175.74","181.16"
"30/09/1947","180.33","186.85","174.86","177.49"
"30/06/1947","177.45","177.45","163.21","177.3"
"31/03/1947","176.39","184.49","171.95","177.2"
"31/12/1946","171.47","178.32","163.12","177.2"
"30/09/1946","206.47","207.56","165.17","172.42"
"30/06/1946","199.19","212.5","199.19","205.62"
"31/03/1946","191.66","206.97","186.02","199.75"
"31/12/1945","183.37","195.82","183.06","192.91"
"30/09/1945","165.91","181.71","160.91","181.71"
"30/06/1945","155.86","169.08","154.99","165.29"
"31/03/1945","152.58","161.52","151.35","154.41"
"31/12/1944","146.92","152.53","145.6","152.32"
"30/09/1944","148.46","150.5","142.96","146.73"
"30/06/1944","138.84","148.63","135","148.38"
"31/03/1944","135.92","141","134.22","138.84"
"31/12/1943","140.33","140.33","129.57","135.89"
"30/09/1943","143.58","145.82","134","140.12"
"30/06/1943","136.56","143.38","131.18","143.38"
"31/03/1943","119.93","136.82","119.26","136.57"
"31/12/1942","109.65","119.71","109.65","119.4"
"30/09/1942","102.69","109.56","102.69","109.11"
"30/06/1942","99.95","106.29","92.92","103.34"
"31/03/1942","112.77","114.22","99.21","99.53"
"31/12/1941","126.85","126.85","106.34","110.96"
"30/09/1941","122.85","130.06","122.85","126.82"
"30/06/1941","123.26","124.65","115.3","123.14"
"31/03/1941","130.57","133.59","117.66","122.72"
"31/12/1940","134.33","138.12","128.41","131.13"
"30/09/1940","121.12","135.1","120.96","132.64"
"30/06/1940","147.72","151.29","111.84","121.87"
"31/03/1940","151.43","152.8","144.65","147.95"
"31/12/1939","151.41","155.48","145.69","150.24"
"30/09/1939","131.73","155.92","131.33","152.54"
"30/06/1939","132.83","140.14","121.44","130.63"
"31/03/1939","153.64","154.85","131.84","131.84"
"31/12/1938","143.13","158.41","143.13","154.76"
"30/09/1938","136.53","145.67","129.91","141.45"
"30/06/1938","103.02","135.87","103.02","133.88"
"31/03/1938","120.57","134.35","98.95","98.95"
"31/12/1937","153.89","154.08","113.64","120.85"
"30/09/1937","170.13","190.02","147.38","154.57"
"30/06/1937","185.19","185.19","165.51","169.32"
"31/03/1937","178.52","194.4","177.72","186.41"
"31/12/1936","168.26","184.9","168.26","179.9"
"30/09/1936","158.38","169.55","155.6","167.82"
"30/06/1936","158.96","161.99","143.65","157.69"
"31/03/1936","144.13","158.75","143.11","156.34"
"31/12/1935","131.51","148.44","128.06","144.13"
"30/09/1935","118.82","134.11","118.69","131.92"
"30/06/1935","101.23","120.75","100.39","118.21"
"31/03/1935","104.51","107.17","96.71","100.81"
"31/12/1934","90.41","104.04","90.41","104.04"
"30/09/1934","94.8","99.02","85.51","92.63"
"30/06/1934","101.96","106.55","91.41","95.72"
"31/03/1934","100.36","110.74","96.73","101.85"
"31/12/1933","92.99","102.92","83.64","99.9"
"30/09/1933","100.92","108.67","88.42","94.82"
"30/06/1933","55.66","98.74","55.66","98.14"
"31/03/1933","59.29","64.35","50.16","55.4"
"31/12/1932","72.09","72.09","55.83","59.93"
"30/09/1932","44.39","79.93","41.22","71.56"
"30/06/1932","72.18","72.18","42.84","42.84"
"31/03/1932","74.62","88.78","71.24","73.28"
"31/12/1931","95.66","116.79","73.79","77.9"
"30/09/1931","152.66","155.26","96.61","96.61"
"30/06/1931","170.82","172.43","121.7","150.18"
"31/03/1931","169.84","194.36","161.45","172.36"
"31/12/1930","214.14","214.18","157.51","164.58"
"30/09/1930","223.03","245.09","204.9","204.9"
"30/06/1930","287.11","294.07","211.84","226.34"
"31/03/1930","244.2","286.19","244.2","286.1"
"31/12/1929","342.57","352.86","198.69","248.48"
"30/09/1929","335.22","381.17","335.22","343.45"
"30/06/1929","300.4","333.79","293.42","333.79"
"31/03/1929","307.01","322.06","295.85","308.85"
"31/12/1928","240.01","300","237.75","300"
"30/09/1928","208.21","241.72","205.1","239.43"
"30/06/1928","209.33","220.96","201.96","210.55"
"31/03/1928","203.35","214.45","191.33","213.35"
"31/12/1927","198.36","202.4","179.78","202.4"
"30/09/1927","168.06","198.97","168.06","197.59"
"30/06/1927","160.71","172.96","160.66","166.23"
"31/03/1927","155.16","161.96","152.73","160.08"
"31/12/1926","159.69","161.86","145.66","157.2"
"30/09/1926","153.01","166.64","153.01","158.19"
"30/06/1926","140.35","154.03","136.27","153.04"
"31/03/1926","158.54","162.31","135.2","140.46"
"31/12/1925","144.77","159.39","144.77","156.66"
"30/09/1925","131.76","147.73","131.33","143.46"
"30/06/1925","118.07","131.01","117.4","131.01"
"31/03/1925","121.25","125.68","115","116.75"
"31/12/1924","104.08","120.51","99.18","120.51"
"30/09/1924","96.45","105.57","96.38","103.16"
"30/06/1924","93.5","96.37","88.33","96.37"
"31/03/1924","95.65","101.31","92.28","93.01"
"31/12/1923","88.06","95.61","85.76","95.52"
"30/09/1923","88.95","93.7","86.91","87.89"
"30/06/1923","101.51","102.7","87.85","87.85"
"31/03/1923","98.77","105.38","96.96","102.75"
"31/12/1922","97.67","103.43","92.03","98.73"
"30/09/1922","92.9","102.05","92.9","96.3"
"30/06/1922","89.08","96.41","89.08","92.93"
"31/03/1922","78.91","89.05","78.59","89.05"
"31/12/1921","71.68","81.5","69.46","81.1"
"30/09/1921","68.35","71.92","63.9","71.08"
"30/06/1921","75.72","80.03","64.9","68.45"
"31/03/1921","72.67","77.78","72.25","75.76"
"31/12/1920","84","85.73","66.75","71.95"
"30/09/1920","91.26","94.51","82.95","82.95"
"30/06/1920","102.66","105.65","87.36","90.76"
"31/03/1920","108.76","109.88","89.98","102.81"
"31/12/1919","111.12","119.62","103.55","107.23"
"30/09/1919","108.13","112.23","98.46","111.42"
"30/06/1919","88.84","107.55","88.84","106.98"
"31/03/1919","82.6","89.05","79.15","88.85"
"31/12/1918","83.95","89.07","79.87","82.2"
"30/09/1918","81.81","84.68","80.29","84.68"
"30/06/1918","77.16","84.04","75.58","82.68"
"31/03/1918","76.68","82.08","73.38","76.72"
"31/12/1917","83.58","83.58","65.95","74.38"
"30/09/1917","95.23","95.31","81.2","83.81"
"30/06/1917","97.06","99.08","89.08","95.87"
"31/03/1917","96.15","99.18","87.01","95.41"
"31/12/1916","103.01","110.15","90.16","95"
"30/09/1916","88.93","103.73","86.4","102.9"
"30/06/1916","93.69","94.46","84.96","89.58"
"31/03/1916","98.81","98.81","90.52","93.25"
"31/12/1915","90.88","99.21","88.23","99.15"
"30/09/1915","69.85","90.58","67.88","90.58"
"30/06/1915","61.05","71.9","60.38","70.06"
"31/03/1915","54.63","61.3","54.22","60.83"
"31/12/1914","54.62","56.76","53.17","54.58"
"30/09/1914","80.33","81.79","71.42","71.42"
"30/06/1914","82.46","82.47","76.97","80.66"
"31/03/1914","78.59","83.43","78.43","82.39"
"31/12/1913","80.79","81.43","75.27","78.78"
"30/09/1913","75.43","83.43","75.23","80.37"
"30/06/1913","81.92","83.19","72.11","74.89"
"31/03/1913","88.42","88.57","78.25","80.92"
"31/12/1912","93.9","94.12","85.25","87.87"
"30/09/1912","91.35","94.15","87.97","94.15"
"30/06/1912","89.05","91.09","87.59","90.92"
"31/03/1912","82.36","88.62","80.15","88.27"
"31/12/1911","76.75","82.48","74.82","81.68"
"30/09/1911","85.93","86.47","72.94","76.31"
"30/06/1911","83.4","87.06","81.32","85.98"
"31/03/1911","82.11","86.02","81.7","83.27"
"31/12/1910","79.95","86.02","79.68","81.36"
"30/09/1910","81.64","81.64","73.62","79.72"
"30/06/1910","89.71","92.62","81.18","81.18"
"31/03/1910","98.34","98.34","85.03","89.71"
"31/12/1909","100.36","100.53","95.7","99.05"
"30/09/1909","92.95","100.12","92.82","99.55"
"30/06/1909","85.37","94.46","85.37","92.28"
"31/03/1909","86.27","86.95","79.91","86.12"
"31/12/1908","79.5","88.38","79.5","86.15"
"30/09/1908","72.76","85.4","72.76","79.93"
"30/06/1908","67.84","75.12","67.04","72.59"
"31/03/1908","59.61","69.92","58.62","67.51"
"31/12/1907","67.95","67.95","53","58.75"
"30/09/1907","81.27","82.52","67.16","67.72"
"30/06/1907","82.3","85.02","77.3","80.36"
"31/03/1907","94.25","96.37","75.39","80.15"
"31/12/1906","95.77","96.75","92.38","94.35"
"30/09/1906","86.12","96.08","85.18","94.84"
"30/06/1906","97.84","98.19","86.45","87.01"
"31/03/1906","95","103","92.9","96.95"
"31/12/1905","82.17","96.56","80.83","96.2"
"30/09/1905","77.48","82.82","77.48","81.9"
"30/06/1905","80.67","83.75","71.37","76.87"
"31/03/1905","70.39","80.02","68.76","80.02"
"31/12/1904","58.05","73.23","57.59","69.61"
"30/09/1904","49.31","57.59","49.31","57.59"
"30/06/1904","49.08","49.98","47.43","49.25"
"31/03/1904","47.38","50.5","46.41","49.12"
"31/12/1903","47.06","49.35","42.15","49.11"
"30/09/1903","58.81","58.81","45.09","45.8"
"30/06/1903","63.47","64.56","56.65","59.08"
"31/03/1903","64.6","67.7","62.86","63.64"
"31/12/1902","66.45","66.58","59.57","64.29"
"30/09/1902","64.25","67.77","64.07","66.15"
"30/06/1902","67.2","68.44","63.67","64.31"
"31/03/1902","64.32","67.52","62.57","67.19"
"31/12/1901","66.07","66.52","61.52","64.56"
"30/09/1901","77.08","77.08","66.22","66.66"
"30/06/1901","70.91","78.26","67.38","77.94"
"31/03/1901","70.44","70.78","64.77","69.92"
"31/12/1900","54.96","71.04","54.52","70.71"
"30/09/1900","55.48","59.02","52.96","54.27"
"30/06/1900","65.55","66.15","53.68","54.93"
"31/03/1900","68.13","68.36","61.11","66.02"
"31/12/1899","70.95","75.93","58.27","66.08"
"30/09/1899","70.67","77.61","70.55","72.87"
"30/06/1899","75.15","77.28","67.51","70.38"
"31/03/1899","60.41","74.7","60.41","74.33"
"31/12/1898","52.52","60.52","51.56","60.52"
"30/09/1898","53","60.97","52.27","53.44"
"30/06/1898","44.14","53.71","43.27","52.62"
"31/03/1898","49.31","50.67","42","45.42"
"31/12/1897","51.54","52.66","45.65","49.41"
"30/09/1897","44.21","55.82","43.6","50.98"
"30/06/1897","39.77","44.61","38.49","44.1"
"31/03/1897","40.74","43.25","39.13","39.47"
"31/12/1896","36.01","44.9","34.74","40.45"
"30/09/1896","34.59","36.75","28.48","36.05"
"30/06/1896","40.94","40.94","35.53","36.15"
